"Story","Title","Result","Date","Stability","Duration (s)"
"Authentication","POST - Register","SUCCESS","2022-05-16T08:47:36.7163327+07:00[Asia/Bangkok]","0.0","14.24"
"Authentication","POST - Login","SUCCESS","2022-05-16T08:47:51.0853243+07:00[Asia/Bangkok]","0.0","7.97"
"Products","GET - Get All Products","SUCCESS","2022-05-16T08:47:36.6833109+07:00[Asia/Bangkok]","0.0","14.2"
"Products","GET - Get Product By ID Positive","SUCCESS","2022-05-16T08:47:51.0312874+07:00[Asia/Bangkok]","0.0","0.72"
"Products","GET - Get Product By ID negative","SUCCESS","2022-05-16T08:47:51.7748502+07:00[Asia/Bangkok]","0.0","0.44"
"Products","POST - Create Product Positive","SUCCESS","2022-05-16T08:47:52.2951976+07:00[Asia/Bangkok]","0.0","1.68"
"Products","POST - Create Product Negative","SUCCESS","2022-05-16T08:47:54.1607887+07:00[Asia/Bangkok]","0.0","0.49"
"Categories","GET - Get All Categories","SUCCESS","2022-05-16T08:47:36.9517503+07:00[Asia/Bangkok]","0.0","13.96"
"Categories","POST - Create Categories Positive","SUCCESS","2022-05-16T08:47:51.0032692+07:00[Asia/Bangkok]","0.0","2.97"
"Categories","POST - Create Categories Negative","SUCCESS","2022-05-16T08:47:54.0517171+07:00[Asia/Bangkok]","0.0","0.6"
"Transactions","GET - Get All Transactions","SUCCESS","2022-05-16T08:47:36.9647677+07:00[Asia/Bangkok]","0.0","12.92"
"Transactions","POST - Create Transactions Positive","SUCCESS","2022-05-16T08:47:49.9331555+07:00[Asia/Bangkok]","0.0","4.0"
"Transactions","POST - Create Transactions Negative","SUCCESS","2022-05-16T08:47:54.2438438+07:00[Asia/Bangkok]","0.0","0.41"
"Ratings","GET - Get Product’s Ratings","SUCCESS","2022-05-16T08:47:36.3788792+07:00[Asia/Bangkok]","0.0","13.51"
"Ratings","POST - Give Ratings to a Product Positive","SUCCESS","2022-05-16T08:47:49.9481667+07:00[Asia/Bangkok]","0.0","4.02"
"Ratings","POST - Give Ratings to a Product Negative","SUCCESS","2022-05-16T08:47:54.1367727+07:00[Asia/Bangkok]","0.0","0.52"
"Comments","GET - Get Product’s Comments","SUCCESS","2022-05-16T08:47:36.9167276+07:00[Asia/Bangkok]","0.0","12.96"
"Comments","POST - Write Comment to a Product Positive","SUCCESS","2022-05-16T08:47:50.0162102+07:00[Asia/Bangkok]","0.0","3.97"
"Comments","POST - Write Comment to a Product Negative","SUCCESS","2022-05-16T08:47:54.0006811+07:00[Asia/Bangkok]","0.0","0.43"
